file,pageTitle,section,tableIndex,headers,rowCount
html/subject/公衆衛生/01_健康と疾病_ICD.html,ICD（国際疾病分類）,WHOの国際分類体系,0,略語 | 正式名称 | 内容,3
html/subject/公衆衛生/01_健康と疾病_国際生活機能分類（ICF）.html,国際生活機能分類（ICF）,ICFの構成要素,0,要素 | 説明 | 具体例,4
html/subject/公衆衛生/01_健康と疾病_国際生活機能分類（ICF）.html,国際生活機能分類（ICF）,ICFの構成要素,1,要素 | 説明 | 具体例,2
html/subject/公衆衛生/02_地域における保健対策_保健活動の進め方.html,保健活動の進め方,保健活動の手順（PDCAサイクル）,0,段階 | PDCA | 内容,4
html/subject/公衆衛生/02_地域における保健対策_保健活動の進め方.html,保健活動の進め方,評価の種類（ドナベディアンモデル）,1,評価の種類 | 評価対象 | 具体例,3
html/subject/公衆衛生/02_地域における保健対策_保健活動の進め方.html,保健活動の進め方,ヘルスプロモーション関連用語,2,用語 | 意味,4
html/subject/公衆衛生/02_地域における保健対策_地域保健.html,地域保健,保健所と市町村保健センターの違い,0,項目 | 保健所 | 市町村保健センター,5
html/subject/公衆衛生/02_地域における保健対策_地域保健法.html,地域保健法,保健所と市町村保健センターの比較,2,項目 | 保健所 | 市町村保健センター,4
html/subject/公衆衛生/02_地域における保健対策_災害時における医療.html,災害時における医療,災害時医療の体制,0,種類 | 設置数,2
html/subject/公衆衛生/02_地域における保健対策_災害時における医療.html,災害時における医療,災害時医療の体制,1,チーム | 活動時期 | 役割,2
html/subject/公衆衛生/03_各種統計と人口問題_国家統計.html,国家統計,主な統計調査の分類,0,調査名 | 周期 | 備考 | 実施,6
html/subject/公衆衛生/03_各種統計と人口問題_国家統計.html,国家統計,主な統計調査の分類,1,調査名 | 周期 | 備考 | 実施,4
html/subject/公衆衛生/04_食生活と環境_喫煙問題.html,喫煙問題,禁煙指導（行動変容ステージモデル）,1,ステージ | 特徴 | 支援策,5
html/subject/公衆衛生/04_食生活と環境_感染性廃棄物の処理.html,感染性廃棄物の処理,廃棄物の分類,0,分類 | 内容,3
