file,pageTitle,section,tableIndex,headers,rowCount
html/subject/口腔外科学/その他悪性腫瘍.html,その他悪性腫瘍（悪性黒色腫・悪性リンパ腫・骨肉腫）,2. 悪性リンパ腫,0,病期 | 治療法,2
html/subject/口腔外科学/その他悪性腫瘍.html,その他悪性腫瘍（悪性黒色腫・悪性リンパ腫・骨肉腫）,4. 鑑別のまとめ,1,疾患 | 由来 | 特徴的所見 | 治療,3
html/subject/口腔外科学/その他悪性腫瘍.html,その他悪性腫瘍（悪性黒色腫・悪性リンパ腫・骨肉腫）,5. 関連する画像所見の比較,2,画像所見 | 疑うべき疾患,5
html/subject/口腔外科学/その他悪性腫瘍.html,その他悪性腫瘍（悪性黒色腫・悪性リンパ腫・骨肉腫）,6. 臨床検査所見,3,検査項目 | 上昇する疾患,4
html/subject/口腔外科学/前癌病変・腫瘍類似疾患.html,前癌病変・腫瘍類似疾患,1. 前癌病変,0,項目 | 白板症 | 紅板症,3
html/subject/口腔外科学/前癌病変・腫瘍類似疾患.html,前癌病変・腫瘍類似疾患,3. 腫瘍類似疾患,1,種類 | 特徴,7
html/subject/口腔外科学/前癌病変・腫瘍類似疾患.html,前癌病変・腫瘍類似疾患,3. 腫瘍類似疾患,2,種類 | 発生部位 | 特徴,2
html/subject/口腔外科学/前癌病変・腫瘍類似疾患.html,前癌病変・腫瘍類似疾患,4. 骨性異形成症 ★★,3,時期 | X線像,3
html/subject/口腔外科学/前癌病変・腫瘍類似疾患.html,前癌病変・腫瘍類似疾患,6. その他の腫瘍類似疾患,4,疾患名 | 特徴,3
html/subject/口腔外科学/前癌病変・腫瘍類似疾患.html,前癌病変・腫瘍類似疾患,7. 鑑別のまとめ,5,疾患 | 好発 | 部位 | X線像,4
html/subject/口腔外科学/口腔癌.html,口腔癌（舌癌・歯肉癌・上顎洞癌）,1. 舌癌,0,T分類 | 腫瘍径 | 切除範囲,4
html/subject/口腔外科学/口腔癌.html,口腔癌（舌癌・歯肉癌・上顎洞癌）,1. 舌癌,1,T分類 | 最大径 | DOI,3
html/subject/口腔外科学/口腔癌.html,口腔癌（舌癌・歯肉癌・上顎洞癌）,2. 頸部郭清術,2,種類 | 切除する組織 | 特徴,3
html/subject/口腔外科学/唾液腺腫瘍_悪性腫瘍.html,唾液腺腫瘍 - 悪性腫瘍,悪性唾液腺腫瘍の分類,0,腫瘍名 | 特徴,6
html/subject/口腔外科学/唾液腺腫瘍_悪性腫瘍.html,唾液腺腫瘍 - 悪性腫瘍,粘表皮癌（mucoepidermoid carcinoma）,2,評価項目 | 点数,5
html/subject/口腔外科学/唾液腺腫瘍_腫瘍類似疾患.html,唾液腺腫瘍 - 腫瘍類似疾患,腫瘍類似疾患の分類,0,疾患名 | 特徴,6
html/subject/口腔外科学/唾液腺腫瘍_良性腫瘍.html,唾液腺腫瘍 - 良性腫瘍,唾液腺腫瘍の分類（WHO 2005）,0,腫瘍名 | 頻度 | 特徴,5
html/subject/口腔外科学/治療法.html,悪性腫瘍の治療法,1. 集学的治療（癌の治療方針）,0,治療法 | 特徴,3
html/subject/口腔外科学/治療法.html,悪性腫瘍の治療法,2. 外科療法,2,術式 | 適応,3
html/subject/口腔外科学/治療法.html,悪性腫瘍の治療法,2. 外科療法,3,術式 | 郭清範囲 | 温存構造,3
html/subject/口腔外科学/治療法.html,悪性腫瘍の治療法,3. 放射線療法 ★★★,4,種類 | 方法 | 特徴,3
html/subject/口腔外科学/治療法.html,悪性腫瘍の治療法,3. 放射線療法 ★★★,5,時期 | 早期障害（急性期） | 晩期障害（慢性期）,8
html/subject/口腔外科学/治療法.html,悪性腫瘍の治療法,4. 化学療法,6,種類 | 目的,4
html/subject/口腔外科学/治療法.html,悪性腫瘍の治療法,4. 化学療法,7,分類 | 薬剤名 | 特徴・副作用,4
html/subject/口腔外科学/治療法.html,悪性腫瘍の治療法,5. 周術期口腔機能管理 ★★,8,時期 | 管理内容,3
html/subject/口腔外科学/治療法.html,悪性腫瘍の治療法,6. 治療法のまとめ,9,病期 | 治療法 | 備考,4
html/subject/口腔外科学/癌患者管理・緩和医療.html,癌患者管理・緩和医療,1. がん患者の全人的苦痛,0,苦痛の種類 | 内容,4
html/subject/口腔外科学/癌患者管理・緩和医療.html,癌患者管理・緩和医療,3. 癌性疼痛の管理 ★★,2,分類 | 薬剤例 | 特徴,2
html/subject/口腔外科学/癌患者管理・緩和医療.html,癌患者管理・緩和医療,3. 癌性疼痛の管理 ★★,4,副作用 | 耐性 | 対策,4
html/subject/口腔外科学/癌患者管理・緩和医療.html,癌患者管理・緩和医療,4. がん患者の口腔管理,5,時期 | 管理内容 | 目的,3
html/subject/口腔外科学/腫瘍総論.html,腫瘍総論,1. 腫瘍の概念,0,臨床所見 | 良性腫瘍 | 悪性腫瘍,8
html/subject/口腔外科学/腫瘍総論.html,腫瘍総論,2. 悪性腫瘍の疫学,2,部位 | 頻度,5
html/subject/口腔外科学/腫瘍総論.html,腫瘍総論,3. 腫瘍の分類,3,由来組織 | 良性腫瘍 | 悪性腫瘍,3
html/subject/口腔外科学/腫瘍総論.html,腫瘍総論,3. 腫瘍の分類,4,分類 | 最大径 | DOI（深達度）,5
html/subject/口腔外科学/腫瘍総論.html,腫瘍総論,3. 腫瘍の分類,6,分類 | 定義,2
html/subject/口腔外科学/腫瘍総論.html,腫瘍総論,3. 腫瘍の分類,7,病期 | T | N | M,9
html/subject/口腔外科学/腫瘍総論.html,腫瘍総論,5. 前癌病変と前癌状態,8,前癌病変 | 癌化率 | 特徴,2
html/subject/口腔外科学/腫瘍総論.html,腫瘍総論,7. 転移,9,転移経路 | 特徴 | 好発部位,3
html/subject/口腔外科学/診断・病期分類.html,悪性腫瘍の診断・病期分類,1. 良性腫瘍と悪性腫瘍の鑑別,0,項目 | 良性腫瘍 | 悪性腫瘍,13
html/subject/口腔外科学/診断・病期分類.html,悪性腫瘍の診断・病期分類,2. 診断の流れ,1,マーカー | 対象腫瘍,4
html/subject/口腔外科学/診断・病期分類.html,悪性腫瘍の診断・病期分類,3. 画像診断 ★★★超頻出,2,目的 | 適切な検査,5
html/subject/口腔外科学/診断・病期分類.html,悪性腫瘍の診断・病期分類,3. 画像診断 ★★★超頻出,3,撮像法 | 脂肪 | 水・液体 | 筋肉 | 用途,3
html/subject/口腔外科学/診断・病期分類.html,悪性腫瘍の診断・病期分類,3. 画像診断 ★★★超頻出,4,検査名 | 核種 | 用途,4
html/subject/口腔外科学/診断・病期分類.html,悪性腫瘍の診断・病期分類,4. TNM分類・病期分類 ★★,5,分類 | 定義,7
html/subject/口腔外科学/診断・病期分類.html,悪性腫瘍の診断・病期分類,4. TNM分類・病期分類 ★★,6,分類 | 定義,7
html/subject/口腔外科学/診断・病期分類.html,悪性腫瘍の診断・病期分類,4. TNM分類・病期分類 ★★,7,分類 | 定義,2
html/subject/口腔外科学/診断・病期分類.html,悪性腫瘍の診断・病期分類,4. TNM分類・病期分類 ★★,8,病期 | T | N | M,6
html/subject/口腔外科学/診断・病期分類.html,悪性腫瘍の診断・病期分類,6. 上顎洞癌・下顎歯肉癌のT分類,9,分類 | 定義,5
html/subject/口腔外科学/診断・病期分類.html,悪性腫瘍の診断・病期分類,6. 上顎洞癌・下顎歯肉癌のT分類,10,分類 | 定義,4
html/subject/口腔外科学/顎骨腫瘍.html,顎骨腫瘍（良性腫瘍・腫瘍類似疾患）,1. エナメル上皮腫,0,治療法 | 適応 | 特徴,3
html/subject/口腔外科学/顎骨腫瘍.html,顎骨腫瘍（良性腫瘍・腫瘍類似疾患）,5. 歯牙腫,1,分類 | 特徴 | 画像所見,2
