file,pageTitle,section,tableIndex,headers,rowCount
html/subject/微生物学・免疫学/02_細菌総論_常在微生物.html,常在微生物,III. 皮膚の常在菌,2,菌種 | コアグラーゼ | 特徴,2
html/subject/微生物学・免疫学/02_細菌総論_細菌の検査.html,細菌の検査,II. 薬剤感受性試験,2,方法 | 測定内容 | 特徴,4
html/subject/微生物学・免疫学/02_細菌総論_細菌の検査.html,細菌の検査,III. 細菌検査法の比較,3,検査法 | 生菌 | 死菌 | 特徴,4
html/subject/微生物学・免疫学/02_細菌総論_細菌の病原性.html,細菌の病原性,II. 細菌毒素,2,毒素 | 産生菌 | 作用・疾患,4
html/subject/微生物学・免疫学/03_口腔微生物_歯周病原細菌.html,歯周病原細菌,III. 菌の特徴（培養・運動性）,2,菌名 | 運動器官 | 形態,2
html/subject/微生物学・免疫学/03_口腔微生物_齲蝕関連細菌.html,齲蝕関連細菌,I. 齲蝕原性細菌の種類,0,菌種 | 特徴 | 関連する齲蝕,4
html/subject/微生物学・免疫学/04_細菌と感染症_細菌と感染症.html,細菌と感染症,IV. 梅毒トレポネーマ,1,検査法 | 内容,2
html/subject/微生物学・免疫学/06_ウイルスと感染症_その他のウイルス.html,その他のウイルス,その他の重要なウイルス,2,ウイルス | 疾患 | 備考,7
html/subject/微生物学・免疫学/06_ウイルスと感染症_インフルエンザウイルス.html,インフルエンザウイルス,治療薬,1,作用機序 | 薬剤名 | 商品名,3
html/subject/微生物学・免疫学/06_ウイルスと感染症_インフルエンザウイルス.html,インフルエンザウイルス,インフルエンザ脳症と解熱鎮痛剤,2,薬剤 | 商品名 | 禁忌,2
html/subject/微生物学・免疫学/06_ウイルスと感染症_ウイルス感染症.html,ウイルス感染症,I. ウイルスの基本,0,構造 | エンベロープあり | エンベロープなし,3
html/subject/微生物学・免疫学/07_感染経路・様式_感染症の伝播形式.html,感染症の伝播形式,日和見感染,2,病原体 | 疾患,5
html/subject/微生物学・免疫学/08_消毒・滅菌_消毒.html,消毒,エンベロープとウイルスの消毒,0,ウイルス | エンベロープ | 消毒用エタノール,5
html/subject/微生物学・免疫学/08_消毒・滅菌_消毒.html,消毒,消毒薬の比較表,1,消毒薬 | 手指 | 金属 | 芽胞 | HBV・ノロ | HIV等,5
html/subject/微生物学・免疫学/08_消毒・滅菌_滅菌・消毒法.html,滅菌・消毒法,消毒薬,1,消毒薬 | 手指・皮膚 | 金属器具 | 印象体 | 芽胞 | HBV・ノロ,4
html/subject/微生物学・免疫学/08_消毒・滅菌_滅菌・消毒法.html,滅菌・消毒法,Spauldingの消毒水準分類,2,水準 | 効果 | 方法・薬剤,4
html/subject/微生物学・免疫学/09_免疫_サイトカイン.html,サイトカイン,サイトカインの分類,0,分類 | サイトカイン | 主な作用,2
html/subject/微生物学・免疫学/09_免疫_サイトカイン.html,サイトカイン,主要なサイトカイン,2,種類 | 産生細胞 | 主な作用,6
html/subject/微生物学・免疫学/09_免疫_サイトカイン.html,サイトカイン,歯周組織再生とサイトカイン,4,因子 | 正式名称 | 作用,2
html/subject/微生物学・免疫学/09_免疫_免疫担当細胞.html,免疫担当細胞,免疫担当細胞の分類,0, | 自然免疫 | 獲得免疫,4
html/subject/微生物学・免疫学/09_免疫_免疫担当細胞.html,免疫担当細胞,抗原提示細胞（APC）,2,MHC分子 | 提示する抗原 | 発現細胞 | 認識する細胞,2
html/subject/微生物学・免疫学/09_免疫_補体.html,補体,オプソニンとは,1,分子 | 機序,2
