file,pageTitle,section,tableIndex,headers,rowCount
html/subject/歯内療法学/01_歯内療法学総論_CT診査.html,CT診査,CBCTで確認できない所見,1,確認できない所見 | 理由,3
html/subject/歯内療法学/01_歯内療法学総論_X線診査.html,X線診査,歯科用コーンビームCT（CBCT）,1,適応 | CBCTで得られる情報,6
html/subject/歯内療法学/01_歯内療法学総論_加齢変化.html,加齢変化,歯髄・象牙質の加齢変化,1,分類 | 特徴,3
html/subject/歯内療法学/01_歯内療法学総論_加齢変化.html,加齢変化,病理学的変化（石灰変性）,2,種類 | 特徴,2
html/subject/歯内療法学/01_歯内療法学総論_歯の解剖.html,歯の解剖,根管の分類,0,分類 | 特徴,6
html/subject/歯内療法学/01_歯内療法学総論_歯髄の生死診断.html,歯髄の生死診断,歯髄電気診,1,病態 | 閾値,4
html/subject/歯内療法学/01_歯内療法学総論_歯髄の生死診断.html,歯髄の生死診断,その他の歯髄診断法,2,診断法 | 内容,4
html/subject/歯内療法学/01_歯内療法学総論_歯髄の生死診断.html,歯髄の生死診断,待機的診断法,3,方法 | 内容・適応,2
html/subject/歯内療法学/01_歯内療法学総論_疾患の診断.html,疾患の診断,検査法の選択,1,主訴・所見 | 必要な検査 | 目的,4
html/subject/歯内療法学/01_歯内療法学総論_診査法.html,診査法,各診査法の詳細,1,診査法 | 急性歯髄炎 | 急性根尖性歯周炎,4
html/subject/歯内療法学/02_歯髄疾患_歯根吸収.html,歯根吸収,分類,0,分類 | 発生部位 | 英語,2
html/subject/歯内療法学/02_歯髄疾患_歯髄疾患総論.html,歯髄疾患総論,歯髄疾患の臨床的分類,0,大分類 | 疾患名,4
html/subject/歯内療法学/02_歯髄疾患_歯髄疾患総論.html,歯髄疾患総論,歯髄疾患の原因,2,原因 | 具体例,4
html/subject/歯内療法学/02_歯髄疾患_象牙質知覚過敏症.html,象牙質知覚過敏症,治療法,1,成分 | 化学式 | 理由,5
html/subject/歯内療法学/03_根尖性歯周疾患_慢性根尖性歯周炎.html,慢性根尖性歯周炎,フレアアップ,1,要因 | 機序,3
html/subject/歯内療法学/03_根尖性歯周疾患_根尖性歯周炎総論.html,根尖性歯周炎総論,細菌感染の経路,0,経路 | 原因,2
html/subject/歯内療法学/03_根尖性歯周疾患_根尖性歯周炎総論.html,根尖性歯周炎総論,診査・検査,1,検査 | 所見,4
html/subject/歯内療法学/03_根尖性歯周疾患_根尖性歯周炎総論.html,根尖性歯周炎総論,診査・検査,2,項目 | 急性歯髄炎 | 急性根尖性歯周炎,4
html/subject/歯内療法学/04_歯内歯周疾患_歯内歯周疾患.html,歯内-歯周疾患,各病型の臨床的特徴,1,項目 | Class I | Class II | Class III,4
