file,pageTitle,section,tableIndex,headers,rowCount
html/subject/歯周病学/01_病因_全身性修飾因子.html,全身性修飾因子,2. 全身性修飾因子の種類,1,疾患 | 歯周病への影響,7
html/subject/歯周病学/01_病因_全身性修飾因子.html,全身性修飾因子,4. 喫煙と歯周病,2,歯周組織の特徴 | 臨床的特徴,5
html/subject/歯周病学/01_病因_全身性修飾因子.html,全身性修飾因子,6. ペリオドンタルメディシン,3,疾患 | 関連メカニズム,6
html/subject/歯周病学/01_病因_咬合性外傷.html,咬合性外傷,定義と用語の整理,0,用語 | 定義,2
html/subject/歯周病学/01_病因_咬合性外傷.html,咬合性外傷,分類,1,分類 | 歯周組織 | 咬合力,2
html/subject/歯周病学/01_病因_細菌叢因子・環境因子.html,細菌叢因子・環境因子,1. プラークとバイオフィルム,0,種類 | 細菌 | 特徴,6
html/subject/歯周病学/01_病因_細菌叢因子・環境因子.html,細菌叢因子・環境因子,4. 主要な歯周病原細菌,4,分類 | グラム陰性偏性嫌気性紡錘状桿菌,3
html/subject/歯周病学/01_病因_細菌叢因子・環境因子.html,細菌叢因子・環境因子,6. 環境因子（後天的リスクファクター）,5,因子 | 歯周病への影響,5
html/subject/歯周病学/02_疾患の分類と特徴_壊死性歯周疾患.html,壊死性歯周疾患,定義と分類,0,疾患名 | 略称 | 病変の範囲,2
html/subject/歯周病学/02_疾患の分類と特徴_歯肉増殖症.html,歯肉増殖症,歯肉増殖症,0,分類 | 原因・特徴,2
html/subject/歯周病学/02_疾患の分類と特徴_細菌性歯周炎.html,細菌性歯周炎,細菌性歯周炎,0,種類 | 特徴 | 部位,4
html/subject/歯周病学/03_診査診断_アタッチメントレベル.html,アタッチメントレベル,アタッチメントレベル,0,項目 | 基準点 | 測定点,2
html/subject/歯周病学/03_診査診断_アタッチメントレベル.html,アタッチメントレベル,アタッチメントレベル,2,項目 | 評価内容,4
html/subject/歯周病学/03_診査診断_ポケット検査.html,ポケット検査,2. プロービングポケットデプス（PPD）,0,測定法 | 測定部位,2
html/subject/歯周病学/03_診査診断_ポケット検査.html,ポケット検査,3. 歯肉ポケットと歯周ポケット,2,種類 | ポケット底部の位置,2
html/subject/歯周病学/03_診査診断_根分岐部病変.html,根分岐部病変,Lindhe & Nymanの分類（1982）,2,原因分類 | 具体例,4
html/subject/歯周病学/04_歯周基本治療_再評価_スケーリング.html,スケーリング,スケーリング後の注意点,2,症状 | 原因・対応,2
html/subject/歯周病学/04_歯周基本治療_再評価_全身疾患をもつ患者への対応.html,全身疾患をもつ患者への対応,注意すべき疾患と主な注意事項,2,疾患 | 注意事項,5
html/subject/歯周病学/04_歯周基本治療_再評価_再評価.html,再評価,1. 歯周基本治療終了後の再評価,0,状態 | 次の治療,4
html/subject/歯周病学/04_歯周基本治療_再評価_再評価.html,再評価,再評価時の検査項目,1,検査項目 | 評価内容,6
html/subject/歯周病学/04_歯周基本治療_再評価_咬合調整.html,咬合調整,咬合調整,1,分類 | 接触部位 | 削合部位,3
html/subject/歯周病学/04_歯周基本治療_再評価_抗菌療法.html,抗菌療法,局所薬物配送システム（LDDS）,1,薬剤 | 商品名 | 形状 | 用量,2
html/subject/歯周病学/04_歯周基本治療_再評価_抜歯適応症.html,抜歯適応症,抜歯判断における考慮事項,0,考慮事項 | 内容,4
html/subject/歯周病学/04_歯周基本治療_再評価_暫間固定.html,暫間固定,暫間固定,0,固定法 | 分類 | 特徴,6
html/subject/歯周病学/04_歯周基本治療_再評価_歯内―歯周病変.html,歯内―歯周病変,歯内―歯周病変,0,分類 | 歯髄 | 打診痛 | エックス線所見,3
html/subject/歯周病学/04_歯周基本治療_再評価_歯周基本治療.html,歯周基本治療,歯周基本治療,0,処置 | 内容,4
html/subject/歯周病学/04_歯周基本治療_再評価_治療計画.html,治療計画,治療計画立案の3要素,0,確認項目 | 内容,3
html/subject/歯周病学/04_歯周基本治療_再評価_治療計画.html,治療計画,歯周基本治療の内容,1,No. | 治療内容,6
html/subject/歯周病学/05_歯周外科治療_GTR法.html,GTR法,GTR膜の種類,0,種類 | 材料 | 利点 | 欠点,2
html/subject/歯周病学/05_歯周外科治療_フラップ手術.html,フラップ手術,フラップの分類,0,種類 | 構成 | 歯槽骨,2
html/subject/歯周病学/05_歯周外科治療_フラップ手術.html,フラップ手術,フラップの分類,1,種類 | 切開法,3
html/subject/歯周病学/05_歯周外科治療_フラップ手術.html,フラップ手術,フラップの分類,2,位置 | 目的・適応,4
html/subject/歯周病学/05_歯周外科治療_フラップ手術.html,フラップ手術,一般的なフラップ手術の術式,3,順序 | 手技 | ポイント,10
html/subject/歯周病学/05_歯周外科治療_フラップ手術.html,フラップ手術,使用器具,4,器具 | 用途,5
