file,pageTitle,section,tableIndex,headers,rowCount
html/subject/生理学/01_細胞生理学_神経線維の分類.html,神経線維の分類,神経線維の分類（伝導速度による）,1,由来 | 機能 | 線維径 | 伝導速度,2
html/subject/生理学/01_細胞生理学_神経線維の分類.html,神経線維の分類,感覚神経線維の分類（数字式）,2,分類 | 受容器 | 対応する文字式,5
html/subject/生理学/01_細胞生理学_細胞膜の物質輸送.html,細胞膜の物質輸送,物質輸送の分類,1,種類 | 特徴 | 例,3
html/subject/生理学/01_細胞生理学_静止膜電位と活動電位.html,静止膜電位と脱分極,静止膜電位の形成,1,細胞の種類 | 静止膜電位,2
html/subject/生理学/01_細胞生理学_静止膜電位と活動電位.html,静止膜電位と脱分極,活動電位の発生,2,相 | イベント,5
html/subject/生理学/02_感覚機能_触覚・痛覚・嗅覚.html,感覚機能（触覚・痛覚・嗅覚）,皮膚感覚の受容器,0,受容器 | 順応 | 機能 | 神経線維,4
html/subject/生理学/02_感覚機能_触覚・痛覚・嗅覚.html,感覚機能（触覚・痛覚・嗅覚）,皮膚感覚の受容器,1,受容器 | 順応 | 機能 | 神経線維,1
html/subject/生理学/03_脳機能_嘔吐の機序.html,嘔吐の機序,延髄の他の中枢,1,中枢 | 機能,5
html/subject/生理学/03_脳機能_視床下部の機能.html,脳の高次機能,視床下部の機能,0,中枢 | 機能・調節対象,6
html/subject/生理学/03_脳機能_視床下部の機能.html,脳の高次機能,脳波と睡眠,1,脳波 | 周波数 | 出現,4
html/subject/生理学/03_脳機能_視床下部の機能.html,脳の高次機能,脳波と睡眠,2, | ノンレム睡眠 | レム睡眠,4
html/subject/生理学/04_自律神経_唾液腺の自律神経支配.html,唾液腺の自律神経支配,唾液腺の副交感神経支配,0,唾液腺 | 脳神経 | 神経節,3
html/subject/生理学/04_自律神経_自律神経の神経伝達.html,自律神経系の神経伝達,神経伝達物質,0, | 神経伝達物質 | 受容体,3
html/subject/生理学/04_自律神経_自律神経の神経伝達.html,自律神経系の神経伝達,交感神経と副交感神経の比較,1, | 交感神経 | 副交感神経,6
html/subject/生理学/05_筋_アセチルコリン受容体.html,アセチルコリン受容体,1. ACh受容体の種類,0,受容体 | 種類 | 作用機序 | 阻害薬,2
html/subject/生理学/05_筋_アセチルコリン受容体.html,アセチルコリン受容体,2. ACh受容体の分布,1,神経系 | シナプス部位 | 受容体,5
html/subject/生理学/05_筋_アセチルコリン受容体.html,アセチルコリン受容体,3. ニコチン性受容体のサブタイプ,2,サブタイプ | 分布 | 機能,2
html/subject/生理学/05_筋_アセチルコリン受容体.html,アセチルコリン受容体,4. 神経伝達物質と受容体のまとめ,3,神経 | 伝達物質 | 受容体,5
html/subject/生理学/05_筋_咀嚼と筋電図.html,咀嚼と筋電図,3. 咀嚼筋と表面筋電図,0,筋 | 作用 | 位置 | 表面電極,5
html/subject/生理学/05_筋_咀嚼と筋電図.html,咀嚼と筋電図,4. 筋電図（EMG）の原理,1,項目 | 筋電図との関係,4
html/subject/生理学/05_筋_咀嚼と筋電図.html,咀嚼と筋電図,5. 咀嚼筋の神経支配,2,筋 | 神経支配,3
