file,pageTitle,section,tableIndex,headers,rowCount
html/subject/疫学/01_総論、統計学_リスク要因曝露の影響ーオッズ比.html,オッズ比,2×2表からの計算,0, | 疾病(+) | 疾病(-),2
html/subject/疫学/01_総論、統計学_リスク要因曝露の影響ーオッズ比.html,オッズ比,オッズ比の解釈,1,オッズ比 | 意味 | 例,3
html/subject/疫学/01_総論、統計学_リスク要因曝露の影響ーオッズ比.html,オッズ比,計算例1：リスク因子（喫煙と歯周病）,2, | 歯周病(+) | 歯周病(-),2
html/subject/疫学/01_総論、統計学_リスク要因曝露の影響ーオッズ比.html,オッズ比,計算例2：予防因子（フッ化物と齲蝕）,3, | 齲蝕(+) | 齲蝕(-),2
html/subject/疫学/01_総論、統計学_リスク要因曝露の影響ー寄与危険度.html,寄与危険度,計算例で理解する,0, | 肺がん(+) | 肺がん(-) | 合計,2
html/subject/疫学/01_総論、統計学_リスク要因曝露の影響ー寄与危険度.html,寄与危険度,計算例で理解する,1, | 肺がん(+) | 肺がん(-) | 合計,2
html/subject/疫学/01_総論、統計学_リスク要因曝露の影響ー寄与危険度.html,寄与危険度,指標の使い分け,3,指標 | 意味 | 用途,2
html/subject/疫学/01_総論、統計学_リスク要因曝露の影響ー相対危険度.html,相対危険度,相対危険度（リスク比）,0, | 疾患あり(+) | 疾患なし(-) | 合計,2
html/subject/疫学/01_総論、統計学_リスク要因曝露の影響ー相対危険度.html,相対危険度,相対危険度（リスク比）,1, | 肺がん(+) | 肺がん(-) | 合計,2
html/subject/疫学/01_総論、統計学_リスク要因曝露の影響ー相対危険度.html,相対危険度,指標の使い分け,2,指標 | 意味 | 用途,2
html/subject/疫学/01_総論、統計学_介入研究.html,介入研究,介入研究の構成要素,0,種類 | マスキング対象,3
html/subject/疫学/01_総論、統計学_分析疫学.html,分析疫学,各疫学の比較,1,分類 | 介入の有無 | 時間の流れ | 因果関係,4
html/subject/疫学/01_総論、統計学_検定法.html,検定法,変数の組み合わせ別の検定法,0,正規分布 | 検定方法,2
html/subject/疫学/01_総論、統計学_検定法.html,検定法,変数の組み合わせ別の検定法,1,正規分布 | 検定方法,2
html/subject/疫学/01_総論、統計学_検定法.html,検定法,パラメトリック検定とノンパラメトリック検定,2,分類 | 正規分布 | 代表的な検定,2
html/subject/疫学/01_総論、統計学_検定法.html,検定法,統計学的検定の原理,3,過誤 | 意味,2
html/subject/疫学/01_総論、統計学_疫学の研究方法.html,疫学の研究方法,疫学の分類,0,大分類 | 研究方法 | 特徴,5
html/subject/疫学/01_総論、統計学_統計用語.html,統計用語,集団の代表値,0,用語 | 定義,5
html/subject/疫学/01_総論、統計学_統計用語.html,統計用語,バイアスと交絡因子,2,種類 | 特徴,4
html/subject/疫学/01_総論、統計学_統計用語.html,統計用語,バイアスと交絡因子,3,方法 | 研究デザイン,4
html/subject/疫学/02_疫学の指標_CFI.html,CFI,CFI（地域フッ素症指数）,1,CFI値 | 判定,3
html/subject/疫学/02_疫学の指標_CPI.html,CPI（地域歯周疾患指数）,代表歯（10歯法）,0,"上顎 | 17, 16, 11, 26, 27",1
html/subject/疫学/02_疫学の指標_OHI.html,OHI,OHI-Sの計算方法,0,部位 | 対象歯 | 診査面,6
html/subject/疫学/02_疫学の指標_OHI.html,OHI,計算例,2, | 上顎右6 | 上顎1 | 上顎左6 | 下顎左6 | 下顎1 | 下顎右6,2
html/subject/疫学/02_疫学の指標_PCR.html,PCR,他の指標との比較,0,指標 | 対象歯 | 評価内容 | 単位,4
html/subject/疫学/02_疫学の指標_PMA指数.html,PMA指数（PMA Index）,PMAの意味,0,略語 | 正式名 | 日本語,3
html/subject/疫学/02_疫学の指標_スクリーニング検査.html,スクリーニング検査,2×2表と指標,0, | 疾病あり | 疾病なし,2
html/subject/疫学/02_疫学の指標_口腔内診査.html,口腔内診査,OHI（口腔衛生指数）,1,点数 | 診査基準,4
html/subject/疫学/02_疫学の指標_口腔内診査.html,口腔内診査,OHI-S（簡略化口腔衛生指数）,2,位置 | 対象歯 | 診査面,2
html/subject/疫学/02_疫学の指標_歯口清掃状態の統計指標.html,歯口清掃状態の統計指標,主な口腔清掃状態の指標,0,指標 | 正式名称 | 評価対象,4
html/subject/疫学/02_疫学の指標_歯口清掃状態の統計指標.html,歯口清掃状態の統計指標,OHI（Oral Hygiene Index）,2,スコア | 状態,4
html/subject/疫学/02_疫学の指標_齲蝕抑制率.html,齲蝕抑制率,計算例,0,群 | 開始時DMF | 終了時DMF | 増加DMF,2
html/subject/疫学/03_齲蝕・歯周病・その他の疫学_不正咬合の疫学指標.html,不正咬合の疫学指標,DAI（審美歯科指数）,0,診査項目 | 評価内容,9
html/subject/疫学/03_齲蝕・歯周病・その他の疫学_不正咬合の疫学指標.html,不正咬合の疫学指標,指標の比較,1,指標 | 目的 | 特徴,2
html/subject/疫学/03_齲蝕・歯周病・その他の疫学_全国乳幼児歯科健診.html,全国乳幼児歯科健診,う蝕有病者率の推移,1,年代 | う蝕有病者率,3
html/subject/疫学/03_齲蝕・歯周病・その他の疫学_全国乳幼児歯科健診.html,全国乳幼児歯科健診,他の統計調査との比較,2,調査名 | 根拠法 | 対象 | 周期,3
