file,pageTitle,section,tableIndex,headers,rowCount
html/subject/矯正/01_不正咬合の分類と原因障害_Angleの分類法.html,Angleの分類法,側貌のタイプ,2,タイプ | 特徴 | 対応するAngle分類,3
html/subject/矯正/01_不正咬合の分類と原因障害_トゥースサイズレイシオ.html,トゥースサイズレイシオ,ratioが変化する原因,0,原因 | 機序,4
html/subject/矯正/01_不正咬合の分類と原因障害_トゥースサイズレイシオ.html,トゥースサイズレイシオ,ratioが変化する原因,1,原因 | 機序,4
html/subject/矯正/01_不正咬合の分類と原因障害_トゥースサイズレイシオ.html,トゥースサイズレイシオ,臨床的対応,3,ratioの状態 | 意味 | 対応,2
html/subject/矯正/01_不正咬合の分類と原因障害_トゥースサイズレイシオ.html,トゥースサイズレイシオ,関連する計測項目,4,項目 | 内容,4
html/subject/矯正/01_不正咬合の分類と原因障害_不正咬合の評価.html,不正咬合の評価,PAR Index,0,項目 | 内容,5
html/subject/矯正/01_不正咬合の分類と原因障害_不正咬合の評価.html,不正咬合の評価,DAI,1,スコア | 判定,4
html/subject/矯正/01_不正咬合の分類と原因障害_不正咬合の評価.html,不正咬合の評価,PAR IndexとDAIの比較,2,項目 | PAR Index | DAI,4
html/subject/矯正/01_不正咬合の分類と原因障害_不正咬合：症候群.html,不正咬合：症候群,誤りの選択肢パターン,0,誤りの組合せ | 正しい不正咬合,3
html/subject/矯正/01_不正咬合の分類と原因障害_不正咬合：種類とその影響.html,不正咬合：種類とその影響,A. 生理的障害,0,不正咬合 | 発音障害,2
html/subject/矯正/01_不正咬合の分類と原因障害_不正咬合：種類とその影響.html,不正咬合：種類とその影響,誤りの選択肢パターン,2,誤りの組合せ | 理由,3
html/subject/矯正/01_不正咬合の分類と原因障害_不正咬合：種類と発現要因.html,不正咬合：種類と発現要因,不正咬合の原因の分類,0,分類 | 具体例,4
html/subject/矯正/01_不正咬合の分類と原因障害_不正咬合：種類と習癖.html,不正咬合：種類と習癖,習癖と不正咬合の対応表,0,習癖 | 引き起こす不正咬合,7
html/subject/矯正/01_不正咬合の分類と原因障害_不正咬合：種類と習癖.html,不正咬合：種類と習癖,誤りの選択肢パターン,1,誤りの組合せ | 理由,4
html/subject/矯正/02_診査検査_パノラマエックス線写真.html,パノラマエックス線写真,パノラマX線で評価できるもの,0,評価項目 | 内容,7
html/subject/矯正/02_診査検査_パノラマエックス線写真.html,パノラマエックス線写真,パノラマX線で評価できないもの,1,項目 | 評価に適した検査,5
html/subject/矯正/02_診査検査_パノラマエックス線写真.html,パノラマエックス線写真,矯正治療で用いるX線検査の比較,2,X線検査 | 主な評価項目,5
