file,pageTitle,section,tableIndex,headers,rowCount
html/subject/組織学/01_総論_その他.html,内分泌系・消化管の構造,2. 消化管の基本構造,2,部位 | 粘膜筋板 | 備考,5
html/subject/組織学/01_総論_基本組織.html,基本組織,1. 上皮組織,0,分類 | 特徴 | 存在部位,6
html/subject/組織学/01_総論_基本組織.html,基本組織,1. 上皮組織,1,種類 | 機能 | 裏打ち構造,5
html/subject/組織学/01_総論_基本組織.html,基本組織,3. 筋組織,2,種類 | 横紋 | 随意性 | 核の位置 | 存在部位,3
html/subject/組織学/01_総論_基本組織.html,基本組織,4. 神経組織,4,細胞 | 機能,4
html/subject/組織学/01_総論_細胞と発生.html,細胞と発生,1. 細胞分裂,0,種類 | 染色体数 | 分裂回数 | 場所,2
html/subject/組織学/01_総論_細胞と発生.html,細胞と発生,2. 幹細胞,1,種類 | 分化能 | 由来,3
html/subject/組織学/01_総論_細胞と発生.html,細胞と発生,2. 幹細胞,2,分化する細胞 | 形成する組織,5
html/subject/組織学/02_軟骨と骨.html,軟骨と骨,2. 骨組織,1,成分 | 割合 | 内容,3
html/subject/組織学/02_軟骨と骨.html,軟骨と骨,2. 骨組織,2,細胞 | 機能 | 由来,3
html/subject/組織学/03_歯.html,歯の構造と発生,1. エナメル質,0,構造 | 特徴 | 脱灰標本で,7
html/subject/組織学/04_歯周組織.html,歯周組織の構造,1. 歯周組織の概要,0,組織 | 由来 | 形成細胞,4
html/subject/組織学/04_歯周組織.html,歯周組織の構造,4. 歯根膜の細胞,2,細胞 | 機能,7
html/subject/組織学/05_唾液腺.html,唾液腺の構造,1. 唾液腺の基本構造,0,種類 | 分泌物 | 特徴,3
html/subject/組織学/06_発生.html,口腔・顔面領域の発生,7. 歯の発生（まとめ）,6,由来 | 構造 | 形成組織,3
html/subject/組織学/07_加齢変化.html,加齢に伴う顎口腔領域の変化,まとめ：加齢変化の傾向,1,増加するもの | 減少するもの,1
