file,pageTitle,section,tableIndex,headers,rowCount
html/subject/薬理学/01_薬物療法の目的と分類_補充療法.html,補充療法,薬物療法の4分類,0,療法 | 目的 | 治療例,4
html/subject/薬理学/01_薬物療法の目的と分類_補充療法.html,補充療法,補充療法の詳細,1,疾患・症状 | 不足物質 | 補充する薬剤,5
html/subject/薬理学/03_用量_用量.html,用量,薬用量を表す用語,0,領域 | 用語 | 意味,7
html/subject/薬理学/04_薬理作用の機序_受容体を介さない作用.html,受容体を介さない作用,輸送体（トランスポーター）阻害薬,1,薬物 | 阻害する輸送体 | 薬効,2
html/subject/薬理学/05_薬物動態_バイオアベイラビリティ.html,バイオアベイラビリティ,関連する薬物動態パラメータ,0,パラメータ | 定義 | 意義,3
html/subject/薬理学/05_薬物動態_分布.html,分布,血中での存在様式（タンパク結合）,0,遊離型薬物 | 結合型薬物,4
html/subject/薬理学/05_薬物動態_分布.html,分布,血液-組織関門,1,関門の種類 | 特徴,4
html/subject/薬理学/05_薬物動態_分布.html,分布,血液-組織関門,2,通過する | 通過しない,4
html/subject/薬理学/05_薬物動態_吸収.html,吸収,生体膜通過の様式,0,通過しやすい | 通過しにくい,4
html/subject/薬理学/05_薬物動態_吸収.html,吸収,初回通過効果,1,初回通過効果あり | 初回通過効果なし,3
html/subject/薬理学/05_薬物動態_吸収.html,吸収,経口投与で吸収されない薬物,2,分類 | 具体例,3
html/subject/薬理学/05_薬物動態_排泄.html,排泄,主な排泄経路,0,経路 | 特徴,3
html/subject/薬理学/06_併用と相互作用_注意が必要な相互作用.html,注意が必要な相互作用,アドレナリン（局所麻酔薬含有）の相互作用,0,併用薬 | 代表的薬物 | 機序,2
html/subject/薬理学/06_併用と相互作用_注意が必要な相互作用.html,注意が必要な相互作用,アドレナリン（局所麻酔薬含有）の相互作用,1,併用薬 | 代表的薬物 | 機序,2
html/subject/薬理学/06_併用と相互作用_注意が必要な相互作用.html,注意が必要な相互作用,アドレナリン（局所麻酔薬含有）の相互作用,2,併用薬 | 症状 | 機序,1
html/subject/薬理学/06_併用と相互作用_注意が必要な相互作用.html,注意が必要な相互作用,CYP3A4阻害薬の相互作用,3,併用薬 | 症状 | 機序,4
html/subject/薬理学/06_併用と相互作用_薬物相互作用.html,薬物相互作用,薬物動態学的相互作用,0,機序 | 例 | 結果,3
html/subject/薬理学/06_併用と相互作用_薬物相互作用.html,薬物相互作用,薬物動態学的相互作用,1,機序 | 例 | 結果,2
html/subject/薬理学/06_併用と相互作用_薬物相互作用.html,薬物相互作用,薬物動態学的相互作用,2,機序 | 原因薬物・物質 | 結果,2
html/subject/薬理学/06_併用と相互作用_薬物相互作用.html,薬物相互作用,薬物動態学的相互作用,3,機序 | 例 | 結果,2
html/subject/薬理学/06_併用と相互作用_薬物相互作用.html,薬物相互作用,薬力学的相互作用,4,種類 | 例,2
html/subject/薬理学/06_併用と相互作用_薬物相互作用.html,薬物相互作用,食物・嗜好品との相互作用,5,食物・嗜好品 | 併用薬 | 機序・結果,4
html/subject/薬理学/07_副作用_副作用（全身）.html,副作用（全身）,全身に出現する主な副作用,0,副作用 | 原因薬物,3
html/subject/薬理学/07_副作用_副作用（全身）.html,副作用（全身）,全身に出現する主な副作用,1,副作用 | 特徴,5
html/subject/薬理学/07_副作用_副作用（全身）.html,副作用（全身）,全身に出現する主な副作用,2,副作用 | 原因薬物,6
html/subject/薬理学/07_副作用_副作用（口腔・顎顔面領域）.html,副作用（口腔・顎顔面領域）,口腔内に出現する主な副作用,0,薬物分類 | 代表的薬物,3
html/subject/薬理学/07_副作用_副作用（口腔・顎顔面領域）.html,副作用（口腔・顎顔面領域）,口腔内に出現する主な副作用,1,薬物分類 | 代表的薬物 | 機序,6
html/subject/薬理学/07_副作用_副作用（口腔・顎顔面領域）.html,副作用（口腔・顎顔面領域）,口腔内に出現する主な副作用,2,薬物分類 | 代表的薬物 | 機序,2
html/subject/薬理学/07_副作用_副作用（口腔・顎顔面領域）.html,副作用（口腔・顎顔面領域）,口腔内に出現する主な副作用,3,薬物分類 | 代表的薬物 | 機序,2
html/subject/薬理学/07_副作用_副作用（口腔・顎顔面領域）.html,副作用（口腔・顎顔面領域）,口腔内に出現する主な副作用,4,副作用 | 原因薬物,3
html/subject/薬理学/08_薬物適用上の注意点_妊婦.html,妊婦,妊娠時期と薬物の影響,0,時期 | 特徴 | 注意点,3
html/subject/薬理学/08_薬物適用上の注意点_妊婦.html,妊婦,胎児毒性のある薬物,1,薬物 | 胎児毒性,4
html/subject/薬理学/08_薬物適用上の注意点_妊婦.html,妊婦,妊婦への抗菌薬投与,2,抗菌薬 | 理由,5
html/subject/薬理学/08_薬物適用上の注意点_高齢者.html,高齢者,高齢者の薬物動態の変化,0,項目 | 臨床的意義,4
html/subject/薬理学/08_薬物適用上の注意点_高齢者.html,高齢者,高齢者の薬物動態の変化,1,項目 | 臨床的意義,5
html/subject/薬理学/09_薬理学各論_ステロイド性抗炎症薬.html,ステロイド性抗炎症薬,代表的薬物,0,薬物名 | 特徴,4
html/subject/薬理学/09_薬理学各論_ステロイド性抗炎症薬.html,ステロイド性抗炎症薬,副作用,2,系統 | 副作用,6
html/subject/薬理学/09_薬理学各論_ステロイド性抗炎症薬.html,ステロイド性抗炎症薬,NSAIDsとステロイドの比較,3, | NSAIDs | ステロイド,5
html/subject/薬理学/09_薬理学各論_局所麻酔薬.html,局所麻酔薬,副作用・中毒,3,種類 | 症状,3
html/subject/薬理学/09_薬理学各論_局所麻酔薬.html,局所麻酔薬,まとめ,4,項目 | 内容,5
html/subject/薬理学/09_薬理学各論_抗凝固薬.html,抗凝固薬（抗血栓薬）,血液凝固阻止薬（抗凝固薬）,1,注意点 | 内容,3
html/subject/薬理学/09_薬理学各論_抗凝固薬.html,抗凝固薬（抗血栓薬）,血栓溶解薬,3,分類 | 代表的薬物,2
html/subject/薬理学/09_薬理学各論_抗凝固薬.html,抗凝固薬（抗血栓薬）,まとめ：抗血栓薬の作用機序,4,薬物 | 作用機序 | 分類,6
html/subject/薬理学/09_薬理学各論_抗悪性腫瘍薬.html,抗悪性腫瘍薬,化学療法薬,2,分類 | 代表的薬物 | 副作用,5
html/subject/薬理学/09_薬理学各論_抗悪性腫瘍薬.html,抗悪性腫瘍薬,化学療法薬の一般的な副作用,4,副作用 | 機序・症状,3
html/subject/薬理学/09_薬理学各論_抗真菌薬.html,抗真菌薬,抗真菌薬の分類,1,系統 | 代表的薬物 | 適応,2
