file,pageTitle,section,tableIndex,headers,rowCount
html/subject/解剖学/01_全身_内分泌系.html,内分泌系,消化管ホルモン,0,ホルモン | 分泌細胞 | 作用,1
html/subject/解剖学/01_全身_内分泌系.html,内分泌系,消化管ホルモン,1,ホルモン | 分泌刺激 | 作用,3
html/subject/解剖学/01_全身_内分泌系.html,内分泌系,膵臓の内分泌,2,細胞 | ホルモン | 作用,3
html/subject/解剖学/01_全身_造血系・リンパ系.html,造血系・リンパ系,リンパ性器官の分類,0,器官 | 役割,2
html/subject/解剖学/01_全身_造血系・リンパ系.html,造血系・リンパ系,リンパ性器官の分類,1,器官 | 特徴,3
html/subject/解剖学/01_全身_造血系・リンパ系.html,造血系・リンパ系,扁桃（ワルダイエルの咽頭輪）,2,扁桃 | 位置 | 特徴,4
html/subject/解剖学/02_歯_上顎・下顎の形態異常.html,上顎・下顎の形態異常,上顎側切歯に好発する形態異常,0,形態異常 | 特徴,4
html/subject/解剖学/02_歯_上顎・下顎の形態異常.html,上顎・下顎の形態異常,小臼歯・大臼歯に好発する形態異常,1,形態異常 | 好発部位 | 特徴,4
html/subject/解剖学/02_歯_上顎・下顎の形態異常.html,上顎・下顎の形態異常,乳歯に好発する形態異常,2,形態異常 | 好発部位 | 特徴,3
html/subject/解剖学/02_歯_上顎・下顎の形態異常.html,上顎・下顎の形態異常,前歯に好発する形態異常,3,形態異常 | 好発部位 | 特徴,3
html/subject/解剖学/02_歯_乳歯の形態と特徴.html,乳歯の形態と特徴,乳臼歯の咬頭数・歯根数・根管数,0, | 歯種 | 咬頭数 | 歯根数 | 根管数,4
html/subject/解剖学/02_歯_乳歯の形態と特徴.html,乳歯の形態と特徴,癒合歯,1,部位 | 頻度,3
html/subject/解剖学/02_歯_乳歯・発育段階の歯の異常.html,乳歯・発育段階の歯の異常,形態分化期の障害（頻出）,1,異常 | 好発部位 | 特徴,5
html/subject/解剖学/02_歯_歯の鑑別.html,歯の鑑別,ミュールライターの三歯徴,0,徴候 | 内容 | 明瞭な歯種,3
html/subject/解剖学/03_頭頸部の骨_上顎骨.html,上顎骨,上顎骨体（4つの面）,0,面 | 別名 | 特徴,4
html/subject/解剖学/03_頭頸部の骨_上顎骨.html,上顎骨,上顎骨を通過する神経・血管,2,孔・管 | 通過する神経 | 通過する血管,4
html/subject/解剖学/03_頭頸部の骨_舌下神経.html,舌下神経,舌下神経の支配筋,0,筋名 | 作用,3
html/subject/解剖学/03_頭頸部の骨_頭蓋を構成する骨.html,頭蓋を構成する骨,顔面頭蓋（9種15個）,1,骨 | 数 | 特徴,9
html/subject/解剖学/03_頭頸部の骨_頭蓋底の構造物.html,頭蓋底の構造物,内頭蓋底の構造,0,孔・管 | 通過する神経 | 通過する血管,2
html/subject/解剖学/03_頭頸部の骨_頭蓋底の構造物.html,頭蓋底の構造物,内頭蓋底の構造,2,孔・管 | 通過する神経 | 通過する血管,4
html/subject/解剖学/03_頭頸部の骨_頭蓋底の構造物.html,頭蓋底の構造物,外頭蓋底の構造,3,孔・管 | 通過する神経 | 通過する血管,4
html/subject/解剖学/03_頭頸部の骨_頸部の筋.html,頸部の筋,舌骨上筋（4筋）,0,筋名 | 起始 | 停止 | 支配神経,4
html/subject/解剖学/03_頭頸部の骨_頸部の筋.html,頸部の筋,舌骨下筋（4筋）,1,筋名 | 層 | 起始→停止 | 支配神経,4
html/subject/解剖学/04_頭頸部の筋_咀嚼筋.html,咀嚼筋,咀嚼筋の作用,1,筋名 | 作用,4
html/subject/解剖学/04_頭頸部の筋_咽頭・喉頭の筋.html,咽頭・喉頭の筋,咽頭挙上筋,1,筋名 | 支配神経,3
html/subject/解剖学/04_頭頸部の筋_正常咬合.html,正常咬合,内側から歯列に作用する筋,0,分類 | 筋名 | 作用,2
html/subject/解剖学/05_頭頸部の脈管_リンパ節.html,リンパ節,頭頸部の主なリンパ節,0,リンパ節 | 存在部位 | 流入領域,4
html/subject/解剖学/05_頭頸部の脈管_頭頸部の血管.html,頭頸部の血管,頭蓋腔へ進入する動脈,0,動脈 | 経路 | 頭蓋内での分布,2
html/subject/解剖学/06_頭頸部の神経_自律神経節.html,自律神経節,副交感神経の起始核,1,起始核 | 位置 | 脳神経 | 神経節,4
html/subject/解剖学/06_頭頸部の神経_舌咽神経・迷走神経.html,舌咽神経・迷走神経,舌咽神経（IX）と迷走神経（X）の概要,0,神経 | 通過孔 | 運動核 | 主な機能,2
html/subject/解剖学/06_頭頸部の神経_舌筋.html,舌筋,内舌筋（4筋）,0,筋名 | 走行・位置 | 作用,4
html/subject/解剖学/06_頭頸部の神経_舌筋.html,舌筋,外舌筋（3筋）,1,筋名 | 起始 | 停止 | 作用,3
html/subject/解剖学/06_頭頸部の神経_顔面神経.html,顔面神経,顔面神経の走行と分枝,1,分枝 | 神経節 | 支配,3
html/subject/解剖学/06_頭頸部の神経_顔面神経麻痺.html,顔面神経麻痺,障害部位と症状の関係,0,障害部位 | 表情筋麻痺 | 聴覚過敏 | 涙分泌障害 | 味覚障害 | 唾液分泌障害,5
html/subject/解剖学/07_口腔と咽喉頭_喉頭.html,喉頭,喉頭軟骨,0,軟骨 | 特徴 | 軟骨の種類,4
html/subject/解剖学/07_口腔と咽喉頭_喉頭.html,喉頭,喉頭の関節,1,関節 | 構成,2
html/subject/解剖学/07_口腔と咽喉頭_解剖学的構造物.html,解剖学的構造物,口峡部の構造物,0,構造物 | 位置・特徴,4
html/subject/解剖学/07_口腔と咽喉頭_解剖学的構造物.html,解剖学的構造物,口腔底の構造物,1,構造物 | 位置・特徴,4
html/subject/解剖学/07_口腔と咽喉頭_解剖学的構造物.html,解剖学的構造物,頬粘膜の構造物,2,構造物 | 位置・特徴,2
html/subject/解剖学/09_発生_歯・歯周組織の発生.html,歯・歯周組織の発生,歯の発生（上皮間葉相互作用）,1,由来 | 発生経路 | 形成される組織,3
html/subject/解剖学/09_発生_歯・歯周組織の発生.html,歯・歯周組織の発生,まとめ：歯と歯周組織の由来,2,組織 | 由来構造 | 胚葉,6
html/subject/解剖学/09_発生_顎・顔面の発生.html,顎・顔面の発生,鰓弓（咽頭弓）,0,鰓弓 | 神経 | 由来の筋 | 由来の骨格,4
html/subject/解剖学/09_発生_顎・顔面の発生.html,顎・顔面の発生,顔面の発生,1,突起 | 形成されるもの,5
html/subject/解剖学/09_発生_顎・顔面の発生.html,顎・顔面の発生,唾液腺の発生,3,唾液腺 | 由来,2
html/subject/解剖学/10_加齢変化_歯の喪失.html,歯の喪失と加齢変化,下顎骨の解剖学的構造物（復習）,0,構造物 | 位置・特徴,5
