file,pageTitle,section,tableIndex,headers,rowCount
html/subject/部分床義歯学/01_部分床義歯の構成と要件_部分床義歯の構成.html,部分床義歯の構成,欠損の分類,1,分類 | 欠損様式,4
html/subject/部分床義歯学/01_部分床義歯の構成と要件_部分床義歯の構成.html,部分床義歯の構成,欠損の分類,2,分類 | 定義,3
html/subject/部分床義歯学/02_支台装置_支台装置.html,支台装置,レスト,0,種類 | 設置部位,3
html/subject/部分床義歯学/03_その他の構成装置_その他の構成装置.html,その他の構成装置,金属床の歯槽部の構造,0,タイプ | 特徴,4
html/subject/部分床義歯学/04_連結子_連結子.html,連結子,上顎の大連結子,0,種類 | 特徴,6
html/subject/部分床義歯学/05_診査診断_前処置_診査・診断.html,診査・診断,咬頭干渉の検査,0,器具 | 用途,3
html/subject/部分床義歯学/07_設計_設計.html,設計,義歯設計の基本,0,順序 | 項目 | 内容,4
html/subject/部分床義歯学/07_設計_設計.html,設計,サベイヤーと義歯設計,1,部位 | 構成,2
html/subject/部分床義歯学/08_メタルフレームの製作_メタルフレームの製作.html,メタルフレームの製作,フレームワーク製作の流れ,0,順序 | 工程 | 内容,6
html/subject/部分床義歯学/09_咬合採得_咬合採得.html,咬合採得,咬合採得とは,0,順序 | 内容 | 使用器具,3
html/subject/部分床義歯学/10_口腔内試適_調整_装着_術後管理_口腔内試適.html,口腔内試適・調整・装着・術後管理,義歯の装着,0,点検部位 | 確認内容,3
html/subject/部分床義歯学/10_口腔内試適_調整_装着_術後管理_口腔内試適.html,口腔内試適・調整・装着・術後管理,義歯の装着,1,点検項目 | 確認内容,4
html/subject/部分床義歯学/10_口腔内試適_調整_装着_術後管理_口腔内試適.html,口腔内試適・調整・装着・術後管理,装着直後にみられる症状,2,症状 | 原因 | 対応,2
html/subject/部分床義歯学/10_口腔内試適_調整_装着_術後管理_口腔内試適.html,口腔内試適・調整・装着・術後管理,義歯修理,3,種類 | 原因 | 修理法,2
html/subject/部分床義歯学/10_口腔内試適_調整_装着_術後管理_口腔内試適.html,口腔内試適・調整・装着・術後管理,義歯修理,4,方法 | 特徴,2
html/subject/部分床義歯学/11_特殊な義歯_特殊な義歯.html,特殊な義歯,即時義歯,0,順序 | 操作,5
html/subject/部分床義歯学/11_特殊な義歯_特殊な義歯.html,特殊な義歯,アタッチメント,1,種類 | 特徴 | 一次固定効果,5
